pcd2,lsoa21
AB16,S01013681
AB16,S01013682
AB16,S01013683
AB16,S01013684
AB16,S01013685
AB16,S01013686
AB16,S01013687
AB16,S01013688
AB16,S01013689
AB16,S01013690
AB16,S01013691
AB16,S01013692
AB16,S01013693
AB16,S01013694
AB16,S01013695
AB16,S01013696
AB16,S01013697
AB16,S01013698
AB16,S01013699
AB16,S01013700
AB16,S01013701
AB16,S01013702
AB16,S01013703
AB16,S01013704
AB16,S01013705
AB16,S01013706
AB16,S01013707
AB16,S01013708
AB16,S01013709
AB16,S01013710
AB16,S01013711
AB16,S01013712
AB16,S01013713
AB16,S01013714
AB16,S01013719
AB2,S01013521
AB2,S01013528
AB2,S01013529
AB2,S01013531
AB2,S01013532
AB2,S01013533
AB2,S01013534
AB2,S01013535
AB2,S01013536
AB2,S01013537
AB2,S01013538
AB2,S01013539
AB2,S01013540
AB2,S01013541
AB2,S01013542
AB2,S01013543
AB2,S01013544
AB2,S01013545
AB2,S01013546
AB2,S01013547
AB2,S01013548
AB2,S01013549
AB2,S01013550
AB2,S01013551
AB2,S01013552
AB2,S01013553
AB2,S01013563
AB2,S01013568
AB2,S01013618
AB2,S01013619
AB2,S01013620
AB2,S01013621
AB2,S01013622
AB2,S01013623
AB2,S01013624
AB2,S01013625
AB2,S01013626
AB2,S01013629
AB2,S01013630
AB2,S01013631
AB2,S01013632
AB2,S01013633
AB2,S01013634
AB2,S01013635
AB2,S01013636
AB2,S01013637
AB2,S01013638
AB2,S01013639
AB2,S01013640
AB2,S01013641
AB2,S01013642
AB2,S01013643
AB2,S01013644
AB2,S01013645
AB2,S01013646
AB2,S01013647
AB2,S01013648
AB2,S01013649
AB2,S01013650
AB2,S01013651
AB2,S01013652
AB2,S01013653
AB2,S01013654
AB2,S01013655
AB2,S01013656
AB2,S01013657
AB2,S01013658
AB2,S01013659
AB2,S01013660
AB2,S01013661
AB2,S01013662
AB2,S01013663
AB2,S01013664
AB2,S01013665
AB2,S01013666
AB2,S01013667
AB2,S01013668
AB2,S01013669
AB2,S01013670
AB2,S01013671
AB2,S01013672
AB2,S01013673
AB2,S01013674
AB2,S01013675
AB2,S01013676
AB2,S01013677
AB2,S01013678
AB2,S01013679
AB2,S01013680
AB2,S01013681
AB2,S01013682
AB2,S01013683
AB2,S01013684
AB2,S01013685
AB2,S01013686
AB2,S01013687
AB2,S01013688
AB2,S01013689
AB2,S01013690
AB2,S01013691
AB2,S01013692
AB2,S01013693
AB2,S01013694
AB2,S01013695
AB2,S01013696
AB2,S01013697
AB2,S01013698
AB2,S01013699
AB2,S01013700
AB2,S01013701
AB2,S01013702
AB2,S01013703
AB2,S01013704
AB2,S01013705
AB2,S01013706
AB2,S01013707
AB2,S01013708
AB2,S01013709
AB2,S01013710
AB2,S01013711
AB2,S01013712
AB2,S01013713
AB2,S01013714
AB2,S01013719
AB2,S01013720
AB2,S01013721
AB2,S01013723
AB2,S01013724
AB2,S01013725
AB2,S01013726
AB2,S01013727
AB2,S01013728
AB2,S01013729
AB2,S01013730
AB2,S01013731
AB2,S01013732
AB2,S01013733
AB2,S01013734
AB2,S01013735
AB2,S01013736
AB2,S01013737
AB2,S01013738
AB2,S01013739
AB2,S01013740
AB2,S01013741
AB2,S01013742
AB2,S01013743
AB2,S01013744
AB2,S01013745
AB2,S01013746
AB2,S01013747
AB2,S01013748
AB2,S01013749
AB2,S01013750
AB2,S01013751
AB2,S01013752
AB2,S01013753
AB2,S01013754
AB2,S01013755
AB2,S01013756
AB2,S01013757
AB2,S01013758
AB2,S01013759
AB2,S01013760
AB2,S01013761
AB2,S01013762
AB2,S01013763
AB2,S01013764
AB2,S01013765
AB2,S01013766
AB2,S01013767
AB2,S01013768
AB2,S01013769
AB2,S01013770
AB2,S01013771
AB2,S01013772
AB2,S01013773
AB2,S01013774
AB2,S01013775
AB2,S01013776
AB2,S01013777
AB2,S01013778
AB2,S01013780
AB2,S01013929
AB2,S01013930
AB2,S01013931
AB2,S01013934
AB2,S01013935
AB2,S01013954
AB2,S01013955
AB2,S01013956
AB2,S01013957
AB2,S01013958
AB2,S01013959
AB2,S01013960
AB2,S01013963
AB2,S01014000
AB21,S01013491
AB21,S01013664
AB21,S01013719
AB21,S01013720
AB21,S01013721
AB21,S01013724
AB21,S01013725
AB21,S01013726
AB21,S01013727
AB21,S01013728
AB21,S01013729
AB21,S01013730
AB21,S01013731
AB21,S01013732
AB21,S01013733
AB21,S01013734
AB21,S01013735
AB21,S01013736
AB21,S01013737
AB21,S01013738
AB21,S01013739
AB21,S01013740
AB21,S01013741
AB21,S01013742
AB21,S01013743
AB21,S01013744
AB21,S01013745
AB21,S01013752
AB21,S01013929
AB21,S01013930
AB21,S01013931
AB21,S01013932
AB21,S01013933
AB21,S01013934
AB21,S01013935
AB21,S01013954
AB21,S01013955
AB21,S01013956
AB21,S01013957
AB21,S01013958
AB21,S01013959
AB21,S01013960
AB21,S01014000
AB22,S01013746
AB22,S01013747
AB22,S01013748
AB22,S01013749
AB22,S01013750
AB22,S01013751
AB22,S01013752
AB22,S01013753
AB22,S01013754
AB22,S01013755
AB22,S01013756
AB22,S01013757
AB22,S01013758
AB22,S01013759
AB22,S01013760
AB22,S01013761
AB22,S01013762
AB22,S01013763
AB22,S01013764
AB22,S01013765
AB22,S01013766
AB22,S01013767
AB22,S01013768
AB22,S01013769
AB22,S01013770
AB22,S01013771
AB22,S01013772
AB22,S01013773
AB22,S01013780
AB22,S01013963
AB23,S01013770
AB23,S01013771
AB23,S01013772
AB23,S01013773
AB23,S01013774
AB23,S01013775
AB23,S01013776
AB23,S01013777
AB23,S01013778
AB23,S01013779
AB23,S01013780
AB23,S01013781
AB23,S01013954
AB23,S01013960
AB23,S01013961
AB23,S01013962
AB23,S01013963
AB23,S01013964
AB23,S01013965
AB23,S01013966
AB23,S01013982
AB24,S01013587
